id,gid,x,y,dir_x,dir_y,radius,time
102,102,3.38615,-2.00462,0.979445,-0.200099,0.1,251.838
102,102,3.43231,-2.0159,0.979742,-0.198715,0.1,251.878
102,102,3.47846,-2.02718,0.98004,-0.197332,0.1,251.918
102,102,3.52462,-2.03846,0.980338,-0.195949,0.1,251.958
102,102,3.57077,-2.04974,0.980636,-0.194565,0.1,251.998
102,102,3.61692,-2.06103,0.980934,-0.193182,0.1,252.038
102,102,3.66308,-2.07231,0.981232,-0.191798,0.1,252.078
102,102,3.70923,-2.08359,0.98153,-0.190415,0.1,252.118
102,102,3.75538,-2.09487,0.981828,-0.189031,0.1,252.158
102,102,3.80154,-2.10615,0.982126,-0.187648,0.1,252.198
102,102,3.84769,-2.11744,0.982424,-0.186264,0.1,252.238
102,102,3.89385,-2.12872,0.982722,-0.184881,0.1,252.278
102,102,3.94,-2.14,0.98302,-0.183497,0.1,252.318
102,102,3.98762,-2.14889,0.98302,-0.183497,0.1,252.358
102,102,4.03524,-2.15778,0.98302,-0.183497,0.1,252.398
102,102,4.08286,-2.16667,0.98302,-0.183497,0.1,252.438
102,102,4.13048,-2.17556,0.98302,-0.183497,0.1,252.478
102,102,4.1781,-2.18444,0.98302,-0.183497,0.1,252.518
102,102,4.22571,-2.19333,0.98302,-0.183497,0.1,252.558
102,102,4.27333,-2.20222,0.98302,-0.183497,0.1,252.598
102,102,4.32095,-2.21111,0.98302,-0.183497,0.1,252.638
102,102,4.36857,-2.22,0.98302,-0.183497,0.1,252.678
102,102,4.41619,-2.22889,0.98302,-0.183497,0.1,252.718
102,102,4.46381,-2.23778,0.98302,-0.183497,0.1,252.758
102,102,4.51143,-2.24667,0.98302,-0.183497,0.1,252.798
102,102,4.55905,-2.25556,0.98302,-0.183497,0.1,252.838
102,102,4.60667,-2.26444,0.98302,-0.183497,0.1,252.878
102,102,4.65429,-2.27333,0.98302,-0.183497,0.1,252.918
102,102,4.7019,-2.28222,0.98302,-0.183497,0.1,252.958
102,102,4.74952,-2.29111,0.98302,-0.183497,0.1,252.998
102,102,4.79714,-2.3,0.98302,-0.183497,0.1,253.038
102,102,4.84476,-2.30889,0.98302,-0.183497,0.1,253.078
102,102,4.89238,-2.31778,0.98302,-0.183497,0.1,253.118
102,102,4.94,-2.32667,0.98302,-0.183497,0.1,253.158
